FoodID,Calories_per_100g,Protein_g_per_100g,Fat_g_per_100g,Carbs_g_per_100g,Fiber_g_per_100g,Vit_A_IU_per_100g,Vit_C_mg_per_100g,Vit_D_ug_per_100g,Vit_E_mg_per_100g,Vit_B1_mg_per_100g,Iron_mg_per_100g,Calcium_mg_per_100g,Potassium_mg_per_100g,Polyphenols_mg_per_100g,Phytosterols_mg_per_100g
F000001,69.8,9.2,15.2,2.4,0.0,366.99,34.43,5.28,0.01,0.377,5.25,113.31,688.62,199.6,153.78
F000002,155.8,22.9,22.4,9.4,0.0,716.45,13.86,3.49,8.76,1.207,2.09,307.06,207.52,124.89,39.9
F000003,153.1,22.0,19.3,0.0,0.0,553.54,73.0,0.21,7.67,0.133,2.11,362.74,631.44,174.1,74.62
F000004,48.9,2.0,0.2,17.7,4.3,678.53,55.25,6.91,1.21,0.877,7.66,286.78,564.24,154.88,112.41
F000005,184.8,8.4,3.5,2.2,0.0,606.97,31.26,7.41,3.0,0.726,2.76,93.97,679.71,78.08,122.55
F000006,847.6,0.0,92.9,0.0,0.0,801.04,76.73,3.94,6.68,0.587,10.46,42.93,339.35,127.45,5.59
F000007,55.0,1.8,0.6,13.3,3.8,468.75,5.02,5.25,3.52,1.079,5.09,286.07,631.49,83.5,152.52
F000008,188.3,23.7,12.9,0.0,0.0,995.86,5.41,0.24,7.33,0.348,9.98,199.77,546.66,97.1,46.31
F000009,45.3,2.6,1.0,2.5,1.9,129.19,35.96,1.07,6.37,0.835,2.94,196.44,546.29,67.65,148.43
F000010,37.3,4.3,1.4,15.1,3.6,228.16,16.6,6.62,5.01,0.535,13.5,341.37,643.26,131.66,125.09
F000011,13.6,4.4,4.8,3.7,0.0,690.43,68.26,7.45,5.0,0.599,0.85,279.01,97.59,141.29,183.48
F000012,890.4,0.0,97.0,0.0,0.0,918.69,2.83,7.85,9.5,0.897,9.19,32.24,445.63,283.98,54.1
F000013,360.5,5.4,12.7,50.9,18.6,512.2,11.02,3.5,8.97,1.474,5.52,77.46,354.85,17.38,46.41
F000014,62.8,3.0,4.5,49.9,0.0,155.66,31.83,5.26,6.57,0.115,14.08,82.34,567.15,244.03,179.53
F000015,141.1,3.1,1.4,10.2,0.0,164.56,78.08,1.84,7.42,0.316,5.59,326.55,122.15,293.37,139.67
F000016,320.9,8.3,2.8,71.8,1.8,791.91,42.6,5.28,0.31,1.144,14.06,364.02,606.04,100.87,165.63
F000017,362.9,11.6,2.9,74.6,2.1,622.7,13.0,3.05,7.46,1.387,1.98,6.07,641.68,285.29,17.11
F000018,599.1,26.7,57.0,18.9,5.1,10.64,2.96,2.87,6.38,0.835,6.13,231.83,72.84,269.11,110.29
F000019,42.9,1.2,0.5,12.7,3.2,273.54,76.14,7.94,9.75,0.024,12.67,339.76,436.95,13.42,46.94
F000020,347.3,20.3,2.6,56.5,8.3,1168.2,49.75,1.28,0.45,1.395,13.68,10.21,491.14,242.41,102.16
F000021,350.7,9.0,10.5,42.5,24.7,1017.11,42.22,0.41,4.72,0.787,6.62,107.67,670.45,87.92,48.81
F000022,16.1,2.5,0.8,6.1,4.9,275.72,66.23,7.89,9.26,0.367,13.64,269.64,536.06,181.66,159.17
F000023,148.6,0.6,0.2,21.6,0.0,828.06,79.19,1.06,8.67,1.378,13.56,141.75,327.83,167.08,142.4
F000024,543.4,19.5,42.7,13.7,10.4,1099.61,74.93,0.67,8.96,0.89,5.55,259.76,309.71,131.58,101.73
F000025,222.1,26.0,19.8,0.0,0.0,252.82,41.53,4.6,6.15,0.149,4.27,47.42,226.34,131.68,177.07
F000026,580.7,13.9,49.8,26.4,7.6,338.21,75.83,3.41,4.45,0.189,6.81,367.2,575.84,275.76,23.99
F000027,140.5,13.0,18.7,7.4,0.0,88.91,55.04,7.14,0.38,0.151,10.58,208.52,160.41,167.45,167.53
F000028,20.5,4.0,0.2,11.3,4.6,257.03,34.75,3.93,6.11,1.065,0.58,275.19,494.57,189.31,46.94
F000029,130.9,7.8,24.1,9.2,0.0,916.72,33.57,3.58,2.47,0.637,2.64,382.53,531.88,104.27,79.62
F000030,161.7,27.1,10.2,0.0,0.0,312.84,4.37,3.88,2.19,0.954,0.68,179.05,184.83,262.69,107.2
F000031,577.8,17.2,44.0,13.1,8.7,1031.67,18.35,6.41,9.11,0.497,3.23,293.33,752.61,10.82,4.01
F000032,352.8,6.8,4.0,72.2,1.2,88.67,57.77,6.1,4.15,0.022,12.45,241.95,129.96,220.76,158.52
F000033,308.2,5.7,14.7,46.8,19.7,1089.2,42.66,1.96,0.17,0.746,5.9,149.1,441.8,32.49,44.81
F000034,112.6,21.0,17.2,0.0,0.0,628.09,67.17,6.08,0.59,0.74,6.18,296.2,669.12,10.95,137.8
F000035,78.7,6.0,0.2,3.9,4.5,450.82,60.55,1.3,7.48,0.249,6.56,388.77,40.86,127.25,34.14
F000036,112.8,0.8,1.5,34.3,0.0,963.38,76.16,2.97,6.05,0.708,3.16,132.07,599.94,298.86,185.57
F000037,342.9,6.6,3.5,74.8,1.1,763.61,70.67,2.76,0.14,0.289,4.26,364.6,346.67,218.8,73.45
F000038,57.0,4.7,0.6,15.9,4.0,332.69,64.58,6.97,6.68,0.71,2.52,313.35,791.38,27.4,160.67
F000039,298.2,7.8,12.7,51.2,17.1,1006.38,25.36,0.63,6.05,0.321,2.49,253.51,229.41,42.87,87.45
F000040,337.0,24.1,4.7,51.9,7.6,1119.83,79.64,1.57,3.61,0.292,8.79,131.38,729.72,274.74,100.56
F000041,64.3,1.1,0.9,20.5,4.2,45.83,2.31,7.15,1.53,1.104,13.06,52.66,341.46,253.74,11.21
F000042,144.4,1.8,0.1,33.2,0.0,499.65,53.42,0.49,1.93,1.142,2.21,106.65,146.34,13.35,121.71
F000043,365.9,7.1,1.3,72.5,2.3,24.13,13.55,0.08,6.38,0.691,13.16,377.29,253.15,204.27,188.53
F000044,42.4,0.8,0.7,11.8,3.0,694.44,27.91,5.13,4.5,0.947,12.48,14.69,669.43,115.7,107.59
F000045,32.2,0.5,0.7,10.4,1.6,704.18,29.78,3.02,5.88,0.051,10.52,251.79,696.77,2.37,84.28
