RecipeID,Recipe_Name,Ingredients,Cooking_Method,Total_Calories_per_Serving,Total_Protein_g,Total_Fat_g,Total_Carbs_g,Total_Fiber_g,Total_Vit_A_IU,Total_Vit_C_mg,Total_Vit_D_ug,Total_Vit_E_mg,Total_Iron_mg,Total_Calcium_mg,Total_Potassium_mg,Dosha_Suitability,Linked_FoodIDs
R00001,Recipe_1_Raita,"F009736:40,F003395:60,F005596:100,F001038:40",Fermented,725.9,26.18,53.34,30.9,3.6,1361.71,133.18,15.09,8.12,22.81,609.2,1004.07,Vata:Neutral;Pitta:Neutral;Kapha:Neutral,"F009736,F003395,F005596,F001038"
R00002,Recipe_2_Wrap,"F009794:100,F006401:100,F000971:50",Fermented,678.0,55.25,16.3,103.1,12.4,1971.62,30.52,6.86,3.91,17.61,595.86,1068.58,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,"F009794,F006401,F000971"
R00003,Recipe_3_Kheer,"F001001:60,F004489:60,F003034:20,F001637:20,F007292:100,F001539:25,F005540:10",Fried,698.0,35.42,19.92,102.92,6.48,1054.51,122.02,14.74,10.11,11.24,804.27,1505.43,Vata:Neutral;Pitta:Favorable;Kapha:Unfavorable,"F001001,F004489,F003034,F001637,F007292,F001539,F005540"
R00004,Recipe_4_Kheer,"F003607:60,F004277:30",Sauteed,149.9,7.14,0.75,17.67,4.29,318.68,48.36,4.56,4.64,7.5,94.32,483.97,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,"F003607,F004277"
R00005,Recipe_5_Wrap,"F007766:15,F003653:60",Fried,81.6,3.42,0.86,15.31,3.42,801.78,51.38,0.8,2.95,6.93,226.05,391.04,Vata:Favorable;Pitta:Neutral;Kapha:Favorable,"F007766,F003653"
R00006,Recipe_6_Raita,"F001923:60,F008088:30,F008483:30",Slow Cooked,303.0,21.6,26.7,19.68,2.43,953.73,42.16,7.46,5.33,9.07,319.77,697.59,Vata:Unfavorable;Pitta:Unfavorable;Kapha:Unfavorable,"F001923,F008088,F008483"
R00007,Recipe_7_Chutney,"F003492:10,F003946:100,F009220:15,F006957:75,F009191:50,F003739:75,F007652:10",Baked,1208.5,43.7,88.37,67.21,22.79,1554.78,97.71,13.05,12.95,18.34,729.04,1091.14,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,"F003492,F003946,F009220,F006957,F009191,F003739,F007652"
R00008,Recipe_8_Raita,"F000079:100,F002066:60,F000415:15,F009625:50,F001106:50",Boiled,1845.9,2.56,203.58,6.82,0.26,1984.23,146.32,9.31,14.92,19.77,362.54,949.73,Vata:Neutral;Pitta:Unfavorable;Kapha:Neutral,"F000079,F002066,F000415,F009625,F001106"
R00009,Recipe_9_Stirfry,"F001019:60,F000613:50,F006144:60,F008055:10,F001253:100,F002288:10,F005766:40",Fried,848.5,25.8,36.92,106.32,15.38,2699.82,138.04,12.02,12.76,27.64,512.36,1963.2,Vata:Favorable;Pitta:Favorable;Kapha:Unfavorable,"F001019,F000613,F006144,F008055,F001253,F002288,F005766"
R00010,Recipe_10_Chutney,"F006809:100,F004844:50,F002949:15,F008280:50,F001846:10,F005453:100,F000687:10,F006082:5",Steamed,1485.4,35.64,125.76,48.09,14.41,1426.47,161.02,9.4,17.02,26.83,595.69,1286.22,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,"F006809,F004844,F002949,F008280,F001846,F005453,F000687,F006082"
R00011,Recipe_11_Wrap,"F008987:40,F002815:20,F004286:15,F004750:30,F005067:60",Slow Cooked,422.4,16.17,30.06,36.63,13.84,1410.34,62.3,5.78,8.58,6.23,296.07,666.0,Vata:Favorable;Pitta:Favorable;Kapha:Unfavorable,"F008987,F002815,F004286,F004750,F005067"
R00012,Recipe_12_Dal,"F007188:40,F007681:30,F000693:25,F006637:40,F000952:60",Sauteed,468.5,15.28,7.98,95.85,11.82,1015.33,95.58,7.49,13.41,12.56,237.87,1001.62,Vata:Neutral;Pitta:Unfavorable;Kapha:Unfavorable,"F007188,F007681,F000693,F006637,F000952"
R00013,Recipe_13_Wrap,"F003959:25,F000370:30,F003477:75,F008160:15,F004316:100,F008835:10,F009216:100,F006257:30",Pressure Cooked,872.7,70.14,32.18,102.14,11.37,2370.03,188.85,11.09,25.05,36.62,1123.73,1516.53,Vata:Favorable;Pitta:Unfavorable;Kapha:Unfavorable,"F003959,F000370,F003477,F008160,F004316,F008835,F009216,F006257"
R00014,Recipe_14_Stirfry,"F006071:50,F000793:50,F005366:10,F000800:75,F001865:75",Slow Cooked,332.8,12.54,11.39,55.63,1.45,2248.94,141.35,13.15,7.92,10.15,325.51,441.75,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,"F006071,F000793,F005366,F000800,F001865"
R00015,Recipe_15_Raita,"F005707:75,F004591:75,F006697:30,F008752:75,F005596:5,F009165:75,F007478:10,F008721:30",Boiled,1035.5,61.68,47.94,110.26,14.56,2245.59,169.68,11.57,21.36,23.86,640.24,2092.15,Vata:Favorable;Pitta:Favorable;Kapha:Unfavorable,"F005707,F004591,F006697,F008752,F005596,F009165,F007478,F008721"
R00016,Recipe_16_Chutney,"F007002:10,F005780:20,F007853:40,F005408:40,F009725:10,F004198:100",Slow Cooked,677.2,27.89,13.63,98.59,20.2,1459.81,71.64,12.65,16.97,16.54,447.47,1267.42,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,"F007002,F005780,F007853,F005408,F009725,F004198"
R00017,Recipe_17_Dal,"F006935:50,F006285:40,F006154:25,F000594:50",Roasted,814.0,18.3,52.22,40.43,7.8,1300.76,90.08,4.59,13.0,8.84,372.5,757.46,Vata:Neutral;Pitta:Neutral;Kapha:Neutral,"F006935,F006285,F006154,F000594"
R00018,Recipe_18_Salad,"F004032:5,F001959:25,F008425:100,F000617:20,F000892:25",Fried,534.5,7.66,28.59,24.27,0.68,964.27,110.38,11.42,5.11,8.01,227.57,980.74,Vata:Neutral;Pitta:Unfavorable;Kapha:Unfavorable,"F004032,F001959,F008425,F000617,F000892"
R00019,Recipe_19_Salad,"F003943:10,F007733:5,F001909:10",Fermented,86.2,2.26,4.84,6.57,1.36,159.11,13.75,0.35,1.2,1.48,12.64,47.33,Vata:Unfavorable;Pitta:Favorable;Kapha:Unfavorable,"F003943,F007733,F001909"
R00020,Recipe_20_Chutney,"F005528:40,F009287:75,F008028:25,F004594:30,F000624:60,F003264:15,F000140:75",Roasted,753.0,20.54,34.96,78.68,15.42,1925.35,92.26,15.34,11.05,26.0,570.67,1413.51,Vata:Neutral;Pitta:Unfavorable;Kapha:Favorable,"F005528,F009287,F008028,F004594,F000624,F003264,F000140"
R00021,Recipe_21_Wrap,"F000174:60,F002633:60,F000021:15,F000973:60",Sauteed,682.6,14.13,75.43,16.63,6.34,1570.13,80.62,5.4,14.78,17.17,412.83,856.94,Vata:Neutral;Pitta:Favorable;Kapha:Favorable,"F000174,F002633,F000021,F000973"
